CouncilDistrictCode,Latitude,Longitude,NumberofBuildings,NumberofFloors,LargestPropertyUseTypeGFA,ENERGYSTARScore,BuildingAge,ParkingRatio,AreaPerFloor,LogPropertyGFATotal,HasMultipleUses,UseTypeCount,LargestUseProportion,HasElectricity,HasNaturalGas,HasSteam,EnergySourceCount,HasENERGYSTARScore,BuildingType_NonResidential,BuildingType_Nonresidential COS,BuildingType_Nonresidential WA,BuildingType_SPS-District K-12,NeighborhoodGrouped_CENTRAL,NeighborhoodGrouped_DELRIDGE,NeighborhoodGrouped_DOWNTOWN,NeighborhoodGrouped_EAST,NeighborhoodGrouped_GREATER DUWAMISH,NeighborhoodGrouped_LAKE UNION,NeighborhoodGrouped_MAGNOLIA / QUEEN ANNE,NeighborhoodGrouped_NORTH,NeighborhoodGrouped_NORTHEAST,NeighborhoodGrouped_NORTHWEST,NeighborhoodGrouped_Other,NeighborhoodGrouped_SOUTHEAST,NeighborhoodGrouped_SOUTHWEST,PrimaryPropertyTypeGrouped_Industrial,PrimaryPropertyTypeGrouped_Institutional,PrimaryPropertyTypeGrouped_Office,PrimaryPropertyTypeGrouped_Other,PrimaryPropertyTypeGrouped_Retail
7.0,47.60713,-122.33323,1.0,25.0,336640.0,36.0,18.0,0.1835696448723797,10880.6,12.716429159281263,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.60699,-122.33346,1.0,9.0,65009.0,48.0,88.0,0.0,7223.222222222223,11.082296383198514,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.60809,-122.33212,1.0,33.0,295511.0,58.0,36.0,0.1823061730895832,7828.848484848485,12.66334874732981,1.0,2.0,0.9353034638172888,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.60755,-122.33244,1.0,11.0,67390.0,35.0,94.0,0.2733485193621868,6090.0,11.431617790897278,1.0,2.0,0.7309903460245146,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.60649,-122.33297,1.0,11.0,364913.0,,12.0,0.1383495145631068,32272.727272727272,12.928781055513184,1.0,3.0,0.8857111650485436,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,47.60546,-122.33279,1.0,6.0,90000.0,,86.0,0.0,17318.5,11.55129966608712,1.0,3.0,0.8661258192106707,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,47.60681,-122.33078,1.0,28.0,348329.0,31.0,33.0,0.2041889973359341,11831.464285714286,12.939118194198793,1.0,2.0,0.8367641088591601,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.60515,-122.33159,1.0,5.0,16442.0,,109.0,0.0,11490.4,10.95872250123467,1.0,5.0,0.2861867297918262,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,47.60376,-122.33194,1.0,10.0,104352.0,39.0,100.0,0.0,10435.2,11.555534661493144,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.60265,-122.33051,1.0,10.0,537150.0,76.0,100.0,0.0,54036.0,13.199992713700013,0.0,1.0,0.9940595158783032,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,47.60378,-122.32842,1.0,19.0,385274.0,,31.0,0.0,20277.57894736842,12.861712644003578,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,47.65959,-122.31755,1.0,6.0,58006.0,84.0,15.0,0.3452456203720426,9667.666666666666,11.391808126699964,1.0,2.0,0.6547543796279574,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.61816,-122.33629,1.0,7.0,125000.0,,88.0,0.0,18084.714285714286,11.748740394204184,0.0,1.0,0.987416365833814,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,47.615,-122.33081,1.0,2.0,67224.0,,86.0,0.0,33612.0,11.115800481137065,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,47.61301,-122.32929,1.0,8.0,112676.0,,25.0,0.1909614560488038,16046.875,11.97462596847526,1.0,4.0,0.7101010864907106,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.61784,-122.32966,1.0,10.0,128909.0,57.0,15.0,0.2227374815263053,13358.5,12.054476200865157,0.0,1.0,0.7500552756217053,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.61558,-122.34186,1.0,5.0,47994.0,57.0,38.0,0.2368074842859231,10442.0,11.13328890939415,0.0,1.0,0.7015640988159626,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,47.6641,-122.33118,1.0,3.0,40943.0,,110.0,0.0,29087.333333333332,11.376681826100372,1.0,4.0,0.4691962137012674,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4.0,47.66583,-122.29965,1.0,4.0,81871.0,29.0,22.0,0.0,20467.75,11.312912331044872,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,47.66172,-122.29598,1.0,2.0,26225.0,,61.0,0.0,55178.0,11.611475844199504,0.0,1.0,0.2376400014498532,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,47.53493,-122.31788,1.0,3.0,757027.0,8.0,24.0,0.0,164945.0,13.111981673523193,1.0,5.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,47.51138,-122.28875,3.0,2.0,616000.0,,55.0,0.0,357047.5,13.478772686065136,1.0,3.0,0.8626303222960531,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.0,47.65671,-122.39047,1.0,2.0,54986.0,97.0,26.0,0.0,27493.0,10.914852072639958,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6.0,47.66587,-122.38476,1.0,2.0,55586.0,57.0,55.0,0.0,47450.0,11.4605895219503,1.0,2.0,0.5857323498419389,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.0,47.58034,-122.31132,1.0,2.0,51029.0,83.0,116.0,0.0,26277.0,10.869615519257454,1.0,2.0,0.9709822278037828,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6.0,47.68891,-122.33553,1.0,3.0,175015.0,95.0,62.0,0.0,58338.333333333336,12.072632677297742,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7.0,47.61351,-122.35129,1.0,3.0,38439.0,,105.0,0.0,23528.666666666668,11.164601270548886,1.0,3.0,0.5445697447085824,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,47.60946,-122.33337,1.0,24.0,348630.0,67.0,47.0,0.6199993979711628,5260.0,12.713525588195903,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.6113,-122.33659,1.0,5.0,103362.0,78.0,43.0,0.0,33623.0,12.03240949630686,1.0,3.0,0.6148291348184278,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7.0,47.61076,-122.33765,1.0,2.0,51747.0,,96.0,0.0,28714.0,10.958304681204568,1.0,4.0,0.9010761301107474,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,47.61048,-122.33794,1.0,8.0,34947.0,14.0,106.0,0.0,7425.0,10.992066340225865,1.0,2.0,0.5883333333333334,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7.0,47.60886,-122.33744,1.0,2.0,23500.0,,90.0,0.0,26274.5,10.869520376305095,1.0,3.0,0.4472016594036042,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,47.61233,-122.33432,1.0,20.0,83591.0,71.0,86.0,0.1018208731269136,4429.55,11.49918144717797,1.0,3.0,0.8474866678832856,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.61087,-122.33339,1.0,34.0,994212.0,63.0,34.0,0.1475480078695489,24927.0,13.809706748397092,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.60997,-122.34138,1.0,7.0,41340.0,98.0,31.0,0.0,10164.285714285714,11.172559658233004,1.0,4.0,0.5810260014054813,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.61155,-122.34114,1.0,7.0,88360.0,99.0,108.0,0.0,17544.285714285714,11.718401867230671,1.0,3.0,0.7194853839263904,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.61986,-122.34413,1.0,5.0,70627.0,86.0,57.0,0.3759377236620042,14125.4,11.636681736391475,1.0,2.0,0.6240622763379958,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.62001,-122.34274,1.0,7.0,107547.0,84.0,16.0,0.2308694409549826,16531.14285714286,11.921412668610715,0.0,1.0,0.714821239855636,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.62025,-122.34314,1.0,6.0,88490.0,80.0,19.0,0.2424763542562338,14683.333333333334,11.663936936922068,0.0,1.0,0.7608770421324161,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.62023,-122.35951,1.0,6.0,155602.0,81.0,18.0,0.2361409236385136,19809.666666666668,11.955063170746223,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,47.63442,-122.30793,1.0,3.0,56072.0,76.0,105.0,0.0,18690.666666666668,10.934409692234288,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7.0,47.62519,-122.34456,1.0,4.0,78051.0,94.0,17.0,0.3651396593515641,19512.75,11.719476112310662,1.0,2.0,0.6348603406484359,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,47.60823,-122.30956,1.0,2.0,54984.0,71.0,54.0,0.0,27492.0,10.914815699745034,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,47.55837,-122.37751,1.0,5.0,296313.0,54.0,94.0,0.0,43520.6,12.290432176147911,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
5.0,47.72426,-122.35599,1.0,2.0,93397.0,1.0,46.0,0.0,46698.5,11.444625210711436,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7.0,47.61988,-122.33211,1.0,6.0,63371.0,74.0,8.0,0.2465072589562798,10561.833333333334,11.339809407255666,1.0,2.0,0.7534927410437202,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,47.61244,-122.3214,0.0,3.0,179014.0,48.0,51.0,0.0,59671.333333333336,12.095224880194644,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,47.60898,-122.32693,1.0,7.0,76631.0,71.0,108.0,0.0,10947.285714285714,11.246770023062728,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,47.60845,-122.32637,1.0,6.0,40174.0,,33.0,0.0936159551012226,15073.166666666666,11.510733063413314,1.0,5.0,0.4026257767087592,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,47.62237,-122.33805,1.0,2.0,72072.0,96.0,87.0,0.0,29160.0,10.97371751331194,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.0,47.62424,-122.33646,1.0,5.0,261826.0,96.0,6.0,0.0,63261.2,12.664468539937252,1.0,4.0,0.8277617244061131,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,47.62642,-122.33325,1.0,7.0,235788.0,37.0,26.0,0.1582603592551871,34013.857142857145,12.552721495745804,1.0,2.0,0.8335766784627187,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,47.62208,-122.35398,1.0,1.0,368000.0,,54.0,0.0,389000.0,12.871337193291367,0.0,1.0,0.9460154241645244,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,47.62208,-122.35398,1.0,1.0,65000.0,,54.0,0.0,91213.0,11.420963673053087,0.0,1.0,0.7126177189654983,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,47.62208,-122.35398,1.0,5.0,278500.0,,78.0,0.0,79217.0,12.889386638375424,0.0,1.0,0.7031319035055607,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,47.62112,-122.33629,1.0,12.0,598801.0,91.0,6.0,0.0,47610.75,13.255722255149015,1.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7.0,47.62395,-122.35077,1.0,2.0,52000.0,,54.0,0.0,26000.0,10.859018228147889,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,47.62395,-122.35077,1.0,1.0,108000.0,,88.0,0.0,60696.0,11.013649552432474,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,47.62395,-122.35143,1.0,2.0,296000.0,,88.0,0.0,131024.0,12.476286788157395,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,47.62391,-122.34837,0.0,2.0,45900.0,,30.0,0.0355072463768115,31944.0,11.101054885563546,1.0,5.0,0.6929347826086957,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7.0,47.62419,-122.34443,1.0,6.0,729584.0,93.0,6.0,0.3299018681335393,102815.16666666669,13.732779824116587,1.0,3.0,0.7925109548358784,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
